subject,predicate,object,context
http://www.wikidata.org/entity/Q115689284,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
http://www.wikidata.org/entity/Q115689378,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q115689378,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
http://www.wikidata.org/entity/Q115689378,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
http://www.wikidata.org/entity/Q115770336,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q115770336,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
http://www.wikidata.org/entity/Q115770336,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
http://www.wikidata.org/entity/Q115770615,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q115770615,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
http://www.wikidata.org/entity/Q115770615,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
http://www.wikidata.org/entity/Q115777068,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q115777068,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
http://www.wikidata.org/entity/Q115777068,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
http://www.wikidata.org/entity/Q115777249,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q115777249,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
http://www.wikidata.org/entity/Q115777249,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
http://www.wikidata.org/entity/Q115777359,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q115777359,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
http://www.wikidata.org/entity/Q115777359,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
http://www.wikidata.org/entity/Q115902053,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q115902053,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
http://www.wikidata.org/entity/Q115902053,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
http://www.wikidata.org/entity/Q115902091,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q115902091,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
http://www.wikidata.org/entity/Q115902091,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
http://www.wikidata.org/entity/Q115902133,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q115902133,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
http://www.wikidata.org/entity/Q115902133,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
http://www.wikidata.org/entity/Q115902173,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q115902173,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
http://www.wikidata.org/entity/Q115902173,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
http://www.wikidata.org/entity/Q115902303,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q115902303,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
http://www.wikidata.org/entity/Q115902303,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
http://www.wikidata.org/entity/Q115902361,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q115902361,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
http://www.wikidata.org/entity/Q115902361,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
http://www.wikidata.org/entity/Q115902381,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q115902381,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
http://www.wikidata.org/entity/Q115902381,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
http://www.wikidata.org/entity/Q115902517,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q115902517,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
http://www.wikidata.org/entity/Q115902517,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
http://www.wikidata.org/entity/Q115902553,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q115902553,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
http://www.wikidata.org/entity/Q115902553,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
http://www.wikidata.org/entity/Q115914765,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q115914765,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
http://www.wikidata.org/entity/Q115914765,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
http://www.wikidata.org/entity/Q115914825,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q115914825,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
http://www.wikidata.org/entity/Q115914825,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
http://www.wikidata.org/entity/Q115915208,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q115915208,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
http://www.wikidata.org/entity/Q115915208,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
http://www.wikidata.org/entity/Q89102955,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q89102955,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q183,
http://www.wikidata.org/entity/Q89102955,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q64,
http://www.wikidata.org/entity/Q115990896,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q115990896,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
http://www.wikidata.org/entity/Q115990896,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
http://www.wikidata.org/entity/Q115993105,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q115993105,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
http://www.wikidata.org/entity/Q115993105,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
http://www.wikidata.org/entity/Q116019430,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q116019430,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
http://www.wikidata.org/entity/Q116019430,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
http://www.wikidata.org/entity/Q116024924,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q116024924,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
http://www.wikidata.org/entity/Q116024924,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
http://www.wikidata.org/entity/Q116025061,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q116025061,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
http://www.wikidata.org/entity/Q116025061,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
http://www.wikidata.org/entity/Q116025441,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q116025441,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
http://www.wikidata.org/entity/Q116025441,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
http://www.wikidata.org/entity/Q4327385,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q4327385,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q55,
http://www.wikidata.org/entity/Q4327385,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q9899,
http://www.wikidata.org/entity/Q107176449,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q107176449,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
http://www.wikidata.org/entity/Q107176449,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q60,
http://www.wikidata.org/entity/Q116152346,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q116152346,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
